"","hh_ID","freq_mean","pct_meat_mean","pct_fish_mean","pct_protein_mean","calories_total_grams_mean","avg_calories_pp_mean","fish_calories_wk_mean","meat_calories_wk_mean","protein_calories_wk_mean","freq_sd","pct_meat_sd","pct_fish_sd","pct_protein_sd","calories_total_grams_sd","avg_calories_pp_sd","fish_calories_wk_sd","meat_calories_wk_sd","protein_calories_wk_sd","freq_var","pct_meat_var","pct_fish_var","pct_protein_var","calories_total_grams_var","avg_calories_pp_var","fish_calories_wk_var","meat_calories_wk_var","protein_calories_wk_var","numChildren","hh_members","sex","age","maritalStatus","literacy","education","attendingCollege","occupationType","canCarry20L","canWalk5Km","canStandOwn","pctCanCarry20L","pctCanWalk5Km","pctCanStandOwn"
"38",109105,1.23913043478261,0.398550724637681,0.365942028985507,0.764492753623188,1139.22014621391,284.805036553478,370.622967152174,654.683229786957,1025.30619693913,0.474902005569167,0.461777836936312,0.44734573129705,0.3704511338263,775.224557229152,193.806139307288,565.526751268547,862.982315837456,830.828562653706,0.225531914893617,0.213238770685579,0.200118203309693,0.137234042553191,600973.114131135,37560.819633196,319820.506400357,744738.477448178,690276.100521224,1,4,"0",21,"1","1","3","1","farming","1","1","1",0.25,0.5,1
"39",110106,8.38709677419355,0.119855234371363,0.065851487222455,0.185706721593818,5922.85220762462,1184.57044152492,465.629950328648,673.65438098703,1139.28433131568,7.98266350704241,0.181719426130346,0.0950733195088129,0.19038395545257,5321.03309819378,1064.20661963876,692.354624747487,712.112551319422,1181.8833707437,63.7229166666667,0.0330219498331421,0.00903893608242482,0.0362460504937662,28313393.2320737,1132535.72928295,479354.926409233,507104.285746657,1396848.3020405,0,5,"0",26,"1","4","4","1","nonearning","1","1","1",0.4,0.6,1
"40",110107,3.18181818181818,0.181818181818182,0.329545454545455,0.511363636363636,2124.08171363636,531.020428409091,901.161259090909,511.909090909091,1413.07035,4.08044115262063,0.322748612183951,0.228787565221539,0.188883782610719,1315.9964420182,328.999110504549,899.612004008681,1007.74653724701,945.8017843435,16.65,0.104166666666667,0.05234375,0.0356770833333333,1731846.63540456,108240.414712785,809301.757756515,1015553.08333333,894541.015267348,1,4,"0",82,"2","4","2","0","farming","0","0","1",0,0,0.75
"41",110108,2.5,0.197916666666667,0.15625,0.354166666666667,2238.69292825,447.73858565,573.46502125,517.5,1090.96502125,1.00790526135794,0.213881158384315,0.215932823181155,0.213106691779326,939.045208820283,187.809041764057,998.289936712898,567.176241470752,951.918436086459,1.01587301587302,0.0457451499118166,0.0466269841269841,0.0454144620811287,881805.904208329,35272.2361683332,996582.797742242,321688.888888889,906148.708961289,1,5,"0",21,"2","4","4","1","nonearning","1","1","1",0.8,0.8,0.8
"42",110109,4.66666666666667,0,0.0555555555555556,0.0555555555555556,1768.162315,353.632463,92.2164816666667,0,92.2164816666667,3.54562104171167,0,0.125988157669742,0.125988157669742,447.771137253322,89.5542274506644,209.12732337544,0,209.12732337544,12.5714285714286,0,0.0158730158730159,0.0158730158730159,200498.991357133,8019.95965428533,43734.237382176,0,43734.237382176,1,5,"1",20,"2","4","3","1","nonearning","0","1","0",0.2,0.4,0.4
"43",110110,1.71052631578947,0.199561403508772,0.153508771929825,0.353070175438596,1253.64085747368,417.880285824561,147.746590605263,363.101503710526,510.84809431579,0.72237768641447,0.288483354325073,0.279458991799026,0.355447167442208,673.720056596876,224.573352198959,293.532491400894,484.767546732398,537.07535646973,0.521829521829522,0.0832226457226457,0.0780973280973281,0.126342688842689,453898.714660897,50433.1905178775,86161.3235080157,234999.574364948,288449.938527088,0,3,"0",25,"1","4","3","1","nonearning","1","1","1",0.666666666666667,0.666666666666667,1
"44",110111,2.175,0.234583333333333,0.0541666666666667,0.28875,1108.58722500175,277.146806250438,67.2204375,304.6875,371.9079375,1.57985282838295,0.320481611989047,0.131208310994988,0.307400385284478,688.25207392947,172.063018482368,211.322671614982,402.927912793427,407.455645193707,2.49593495934959,0.102708463623098,0.0172156208741575,0.0944949968730456,473690.917268217,29605.6823292636,44657.2715384936,162350.902908068,166020.10280022,0,4,"0",45,"2","4","3","0","trader","1","1","1",1,1,0.75
"45",110111,2.175,0.234583333333333,0.0541666666666667,0.28875,1108.58722500175,277.146806250438,67.2204375,304.6875,371.9079375,1.57985282838295,0.320481611989047,0.131208310994988,0.307400385284478,688.25207392947,172.063018482368,211.322671614982,402.927912793427,407.455645193707,2.49593495934959,0.102708463623098,0.0172156208741575,0.0944949968730456,473690.917268217,29605.6823292636,44657.2715384936,162350.902908068,166020.10280022,0,4,"0",45,"2","4","3","0","trader","1","1","1",1,1,0.75
"46",110111,2.175,0.234583333333333,0.0541666666666667,0.28875,1108.58722500175,277.146806250438,67.2204375,304.6875,371.9079375,1.57985282838295,0.320481611989047,0.131208310994988,0.307400385284478,688.25207392947,172.063018482368,211.322671614982,402.927912793427,407.455645193707,2.49593495934959,0.102708463623098,0.0172156208741575,0.0944949968730456,473690.917268217,29605.6823292636,44657.2715384936,162350.902908068,166020.10280022,0,4,"0",45,"2","4","6","0","trader","1","1","1",1,1,0.75
"47",110111,2.175,0.234583333333333,0.0541666666666667,0.28875,1108.58722500175,277.146806250438,67.2204375,304.6875,371.9079375,1.57985282838295,0.320481611989047,0.131208310994988,0.307400385284478,688.25207392947,172.063018482368,211.322671614982,402.927912793427,407.455645193707,2.49593495934959,0.102708463623098,0.0172156208741575,0.0944949968730456,473690.917268217,29605.6823292636,44657.2715384936,162350.902908068,166020.10280022,0,4,"0",45,"2","4","6","0","trader","1","1","0",1,1,0.75
"48",110112,2,0.166666666666667,0.222222222222222,0.388888888888889,1467.0592,366.7648,366.475866666667,350.166666666667,716.642533333333,1.01418510567422,0.258198889747161,0.373741273720925,0.410187723187772,1026.9171934351,256.729298358776,530.264084752442,742.734041998115,779.627209047322,1.02857142857143,0.0666666666666667,0.13968253968254,0.168253968253968,1054558.92217263,65909.9326357894,281179.999578345,551653.857142857,607818.585086917,0,4,"0",19,"1","4","4","1","self","1","1","1",0.75,1,0.5
"49",110114,1.42857142857143,0.0952380952380952,0.0476190476190476,0.142857142857143,867.194361714286,433.597180857143,14.4086474285714,44.5714285714286,58.980076,0.735980072193987,0.235702260395516,0.117851130197758,0.353553390593274,406.883313886384,203.441656943192,35.6595830656414,110.308657865101,145.968240930743,0.541666666666667,0.0555555555555556,0.0138888888888889,0.125,165554.031119165,41388.5077797913,1271.60586441538,12168,21306.7273604154,0,2,"0",28,"2","4","3","0","prod","1","1","1",1,1,1
"50",111116,1.94117647058824,0.335294117647059,0.0607843137254902,0.396078431372549,1313.66790098824,656.833950494118,155.058657294118,461.344537811765,616.403195105882,1.05738146170413,0.412226340201055,0.141312192688632,0.392070319971391,1178.42368861203,589.211844306015,519.896366634904,796.502619431512,874.65983094084,1.11805555555556,0.169930555555556,0.0199691358024691,0.153719135802469,1388682.38988198,347170.597470496,270292.232040175,634416.42276126,765029.819861459,0,2,"1",23,"2","2","2","0","wage","0","0","0",0,0,0
"51",112122,8,0,0.125,0.125,5285.79889,880.966481666667,553.29889,0,553.29889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,"0",29,"1","4","3","0","trader","1","1","1",0.666666666666667,0.666666666666667,1
"52",112126,2,0,0.171428571428571,0.171428571428571,1740.631528,580.210509333333,213.056777142857,0,213.056777142857,1.42886901662352,0,0.348807492274272,0.348807492274272,1095.06430893754,365.021436312512,363.109559056711,0,363.109559056711,2.04166666666667,0,0.121666666666667,0.121666666666667,1199165.84070884,133240.648967649,131848.551878359,0,131848.551878359,1,3,"0",40,"2","4","2","0","trader","1","1","1",1,1,1
"53",112131,4.66666666666667,0.0888888888888889,0.177777777777778,0.266666666666667,3493.30250783333,1746.65125391667,512.468698333333,658.690476166667,1171.1591745,1.39386410487434,0.133333333333333,0.169780437110395,0.216465107712866,894.83768333814,447.41884166907,705.178976579235,986.683500093993,1125.86859288785,1.94285714285714,0.0177777777777778,0.0288253968253968,0.0468571428571429,800734.479521969,200183.619880492,497277.389009337,973544.329357732,1267580.08845127,0,2,"0",40,"2","4","3","0","salaried","1","1","1",1,1,1
"54",112132,3.16666666666667,0.155555555555556,0.0166666666666667,0.172222222222222,914.4473975,91.44473975,23.303085,382.4878125,405.7908975,3.00582185682469,0.316547026841227,0.0554700196225229,0.313141338787293,1087.31303160223,108.731303160223,77.5573549329192,903.147699806788,896.51545417437,9.03496503496504,0.10020202020202,0.00307692307692308,0.0980574980574981,1182249.62869202,11822.4962869202,6015.1433041908,815675.767666291,803739.959573478,2,10,"1",26,"2","4","4","0","self","1","1","0",0.7,0.8,0.8
"55",112133,2,1,0,1,4293.1428568,1431.04761893333,0,4293.1428568,4293.1428568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"0",25,"1","4","2","0","wage","1","1","1",0.333333333333333,0.333333333333333,1
"56",113135,1.95121951219512,0.18970189701897,0.287262872628726,0.476964769647696,1207.35933602439,241.471867204878,408.537036390244,305.602787439024,714.139823829268,1.48123179112778,0.353972739727668,0.389807823964259,0.421034208261928,1098.35921807119,219.671843614237,532.465983654083,621.918416897771,801.855374046445,2.19404761904762,0.125296700470312,0.151950139623751,0.177269804526749,1206392.97192195,48255.718876878,283520.02374871,386782.517276629,642972.040887165,1,5,"0",27,"2","4","6","0","self","1","1","1",0.6,0.8,1
